"Time","X","Y","Z"
"7","0.13627625","0.06036377","-0.054748535"
"36","0.11816406","0.07633972","-0.03982544"
"61","-0.0022125244","0.08912659","-0.024917603"
"87","-0.05760193","0.12640381","-0.01852417"
"121","-0.06399536","0.15730286","-0.0206604"
"132","-0.056533813","0.15516663","0.0017242432"
"164","-0.051208496","0.13066101","0.034744263"
"194","-0.0064697266","0.09017944","0.020889282"
"217","-0.013931274","0.16156006","0.011306763"
"244","-0.012863159","0.17860413","0.0038452148"
"271","0.010574341","0.16262817","-0.00894165"
"273","0.010574341","0.1487732","-0.007873535"
"308","-0.0032653809","0.051834106","0.011306763"
"316","-0.05014038","0.14665222","0.01449585"
"343","-0.053344727","0.15835571","0.01876831"
"389","-0.05760193","0.15623474","0.017700195"
"396","-0.021377563","0.092315674","-0.011062622"
"426","-0.013931274","0.08166504","-0.007873535"
"475","-0.03842163","0.19778442","0.0070495605"
"479","-0.049072266","0.19778442","0.010238647"
"516","-0.05760193","0.31388855","0.109313965"
"521","-0.05760193","0.38206482","0.20198059"
"558","-0.042678833","0.37994385","0.23181152"
"591","-0.0011444092","0.31388855","0.33728027"
"595","0.0052490234","0.34158325","0.42356873"
"606","-0.039489746","-0.0078125","0.3276825"
"634","-0.070388794","-0.061080933","0.3202362"
"636","-0.16200256","-0.078125","0.31170654"
"659","-0.36332703","0.2744751","0.24673462"
"671","-0.1257782","0.06781006","0.13168335"
"691","-0.0554657","-0.030181885","0.118896484"
"701","0.15438843","-0.20169067","0.0773468"
"733","0.23854065","-0.27519226","0.031539917"
"758","0.14160156","-0.22406006","-0.056869507"
"767","0.08300781","-0.1803894","-0.09202576"
"793","0.070236206","-0.21447754","-0.10481262"
"833","0.09472656","-0.3998413","-0.13569641"
"835","0.09579468","-0.4083557","-0.13996887"
"871","0.16078186","-0.41581726","-0.122924805"
"876","0.1671753","-0.27626038","-0.08137512"
"919","0.14480591","-0.09623718","-0.033432007"
"927","0.11923218","-0.1612091","0.04006958"
"961","0.11604309","-0.22406006","0.058181763"
"970","0.1756897","-0.28053284","0.10185242"
"990","0.18101501","-0.26454163","0.10292053"
"1011","0.19805908","-0.16973877","0.10824585"
"1023","0.05531311","-0.10475159","0.097595215"
"1044","-0.070388794","-0.0973053","0.08055115"
"1053","-0.38890076","-0.22512817","0.023025513"
"1074","-0.330307","-0.23577881","0.023025513"
"1096","0.09472656","-0.10688782","-0.03237915"
"1110","0.32696533","0.017745972","-0.11227417"
"1112","0.3248291","0.020950317","-0.11546326"
"1123","0.21191406","0.022003174","-0.13996887"
"1143","0.18740845","0.026275635","-0.14315796"
