"Time","X","Y","Z"
"1","0.8448639","7.399994","7.253128"
"24","0.64375305","7.392807","6.786255"
"36","0.698822","7.344925","7.016098"
"43","0.7730408","7.3856354","6.795822"
"77","0.8089447","7.3856354","6.659363"
"83","0.93344116","7.455063","6.1637573"
"119","0.9741516","7.4885864","6.379242"
"124","0.9047241","7.5244904","6.3696594"
"160","0.9669647","7.4694214","6.8604736"
"171","0.5192566","7.3185883","6.793442"
"201","0.540802","7.399994","6.6785126"
"215","0.971756","7.3425293","7.3105774"
"218","1.0244293","7.3592987","7.5476074"
"247","0.86880493","7.4095764","7.0543976"
"249","0.7658539","7.5005493","6.714432"
"285","0.7730408","7.510132","6.530075"
"293","0.81373596","7.479004","6.6114807"
"326","0.80415344","7.5292816","6.565979"
"350","0.679657","7.538864","6.170944"
"355","0.66529846","7.550827","6.2116394"
"377","0.674881","7.5316772","6.204468"
"397","0.6485443","7.4670258","6.3433228"
"406","0.6509247","7.5173187","6.577957"
"433","0.674881","7.5292816","6.822159"
"440","0.7107849","7.54364","6.664154"
"463","0.6820526","7.574768","6.8054047"
"470","0.6820526","7.6633606","6.917938"
"478","0.67726135","7.6011047","6.8532867"
"498","0.7395172","7.574768","6.8676605"
"511","0.63656616","7.5316772","6.633026"
"532","0.6509247","7.5771637","6.542038"
"541","0.70121765","7.5173187","6.372055"
"569","0.72753906","7.586746","6.5109253"
"602","0.66290283","7.550827","6.3696594"
"610","0.619812","7.5292816","6.33136"
"631","0.6102295","7.5484314","6.5276794"
"642","0.595871","7.5244904","6.6617584"
"664","0.595871","7.5173187","6.6186523"
"671","0.7179718","7.5053406","6.8963776"
"696","0.6485443","7.514923","6.6785126"
"706","0.6676941","7.558014","6.475006"
"731","0.6892395","7.5292816","6.609085"
"734","0.70121765","7.54364","6.5995026"
"744","0.5671387","7.5771637","6.33374"
"766","0.5551605","7.54364","6.2738953"
"776","0.5982666","7.4694214","6.5707703"
"801","0.595871","7.502945","6.4726105"
"808","0.5527649","7.3185883","6.561203"
"830","0.5671387","7.3712616","6.803009"
"837","0.55036926","7.191696","7.3177643"
"862","0.46897888","7.3377533","6.8125916"
"872","-0.0026855469","7.811798","6.7263947"
"877","0.43785095","7.775879","6.249954"
"898","0.7107849","7.732788","6.091934"
"911","1.3189087","7.7232056","5.862091"
"933","1.2183533","7.7232056","6.130234"
"944","0.76345825","7.668152","6.7527313"
"966","0.68444824","7.6011047","6.9083557"
"973","0.69163513","7.510132","7.2866364"
"997","0.60543823","7.5005493","7.178894"
"1000","0.2774353","7.2324066","6.74794"
"1010","0.248703","7.1462097","7.248337"
"1032","0.3636322","7.1486053","7.4518433"
"1053","0.51686096","7.313797","6.9897614"
"1062","0.5240326","7.3592987","6.5037384"
"1077","0.5384064","7.3784485","6.4726105"
"1083","0.48812866","7.392807","6.7263947"
"1092","0.461792","7.4191437","6.585144"
"1112","0.45220947","7.4215393","6.5324707"
"1124","0.600647","7.5173187","6.767105"
"1146","0.66529846","7.4742126","6.762314"
"1154","0.75627136","7.5316772","6.6665344"
"1180","0.7754364","7.5963135","6.786255"
"1183","0.72276306","7.5604095","6.755127"
"1193","0.73472595","7.5843506","6.3529053"
"1213","0.6964264","7.5484314","6.5683746"
"1227","0.58628845","7.4574585","6.580353"
"1247","0.5216522","7.431122","6.74794"
"1256","0.5216522","7.4766083","6.621048"
"1281","0.5982666","7.507736","6.530075"
"1288","0.66529846","7.54364","6.355301"
"1295","0.6246033","7.5364685","6.4797974"
"1319","0.6461487","7.4742126","6.379242"
"1326","0.54559326","7.459854","6.4295197"
"1343","0.52882385","7.459854","6.7216034"
"1348","0.5838928","7.4383087","6.549225"
"1366","0.5551605","7.423935","6.5827484"
"1367","0.5551605","7.4335175","6.549225"
"1378","0.6533203","7.562805","6.443878"
"1395","0.72753906","7.5125275","6.336136"
"1398","0.7730408","7.538864","6.388809"
"1411","0.7323303","7.565201","6.3816376"
"1433","0.72036743","7.565201","6.625839"
"1440","0.70599365","7.5675964","6.542038"
"1460","0.66529846","7.5364685","6.4414825"
"1484","0.6317749","7.4574585","6.8006134"
"1493","0.5048828","7.459854","6.5276794"
"1518","0.55036926","7.423935","6.5037384"
"1521","0.5599518","7.388031","6.7742767"
"1548","0.49291992","7.4670258","6.546829"
"1555","0.619812","7.404785","6.4534607"
"1582","0.6868439","7.440689","6.6425934"
"1593","0.8065491","7.5604095","6.692871"
"1619","0.77064514","7.54364","6.7024536"
"1624","0.6389618","7.411972","6.6545715"
"1653","0.55755615","7.4766083","6.755127"
"1688","0.6533203","7.4646454","6.7527313"
"1698","0.74909973","7.5173187","6.719208"
"1718","0.758667","7.471817","6.8054047"
"1726","0.63417053","7.4215393","6.6425934"
"1745","0.619812","7.428726","6.5635834"
"1747","0.64375305","7.356903","6.9394836"
"1758","0.5910797","7.416748","6.4534607"
"1779","0.5120697","7.3975983","6.652176"
"1788","0.5671387","7.4454803","6.755127"
"1812","0.59347534","7.452667","6.5588074"
"1829","0.619812","7.3952026","6.549225"
"1849","0.6581116","7.4646454","6.609085"
"1860","0.77783203","7.54126","6.7742767"
"1878","0.82092285","7.4742126","6.8916016"
"1880","0.7658539","7.486191","7.0208893"
"1897","0.8065491","7.534073","6.6617584"
"1902","0.66290283","7.5316772","6.475006"
"1913","0.6605072","7.4885864","6.779068"
"1932","0.66529846","7.4813995","6.7575226"
"1946","0.6676941","7.4095764","6.834137"
"1965","0.62220764","7.4215393","6.7335815"
"1974","0.6605072","7.4454803","6.6306305"
"1999","0.6030426","7.3784485","6.731186"
"2002","0.6605072","7.407181","6.5923157"
"2033","0.6174164","7.452667","6.803009"
"2043","0.6246033","7.4430847","6.4486694"
"2071","0.6581116","7.4430847","6.6904907"
"2073","0.619812","7.407181","6.7503357"
