"Time","X","Y","Z"
"5","1.0292206","4.0193787","9.508453"
"19","0.9789429","3.9714966","9.077499"
"31","0.98851013","3.8470001","8.9314575"
"42","0.9741516","3.7919312","9.053558"
"61","0.81373596","3.8422089","9.281006"
"89","0.5695343","3.569275","9.489304"
"91","0.67726135","3.6315155","9.0655365"
"116","0.81134033","3.7631989","8.955399"
"124","0.8472595","3.7775726","9.003281"
"143","0.94781494","3.8254547","9.094269"
"180","1.0340118","4.060089","8.902725"
"184","0.7251587","3.7799683","9.443817"
"218","0.595871","3.5788422","10.001663"
"231","0.995697","3.8446045","9.800552"
"262","1.0723114","3.9068604","9.616196"
"266","0.77783203","3.9308014","9.527618"
"295","0.58628845","3.6219482","9.45578"
"303","0.47854614","3.6985626","9.130173"
"330","0.461792","3.6363068","9.2043915"
"344","0.5216522","3.6578522","9.185242"
"352","0.6461487","3.7608032","8.962585"
"379","0.7299347","3.7703857","9.02243"
"381","0.73472595","3.86615","9.027222"
"411","0.6605072","3.8613586","9.43663"
"424","0.2271576","3.6817932","9.628174"
"455","0.20082092","3.6363068","9.726334"
"467","0.37080383","3.8613586","9.261856"
"494","0.5024872","3.902069","9.37439"
"505","0.43785095","3.8924866","9.451004"
"533","0.34446716","3.7655945","9.087082"
"547","0.38038635","3.7009583","8.82132"
"573","0.1912384","3.45195","9.230728"
"585","-0.12478638","4.1845856","7.9594116"
"612","-0.033813477","4.2109222","8.495712"
"615","-0.021835327","4.213318","8.510071"
"625","0.81134033","3.9858704","9.008072"
"653","0.6317749","4.060089","8.775833"
"655","0.3348999","4.052902","8.701614"
"687","0.50727844","4.052902","9.71196"
"712","0.34446716","4.0505066","8.6944275"
"720","0.061965942","3.9906464","8.495712"
"746","0.2558899","3.9212189","8.577118"
"759","0.63656616","3.8517914","9.484512"
"775","0.6485443","3.8206635","9.443817"
"780","0.74909973","4.0385437","9.281006"
"789","0.7155762","4.0624847","9.146942"
"812","0.69163513","4.0457153","9.115814"
"822","0.6820526","4.0433197","8.794983"
"843","0.69163513","4.0433197","8.78302"
"853","0.5024872","3.8829193","8.596268"
"874","0.51686096","3.8206635","8.873993"
"883","0.6126251","3.7631989","9.247498"
"913","0.6964264","3.8158722","9.7382965"
"932","0.69403076","3.6794128","9.726334"
"934","0.7323303","3.7129211","9.75267"
"962","0.86880493","3.7655945","9.661682"
"965","0.93344116","3.806305","9.6545105"
"975","1.0483704","3.9427643","9.640137"
"993","1.0387878","3.9667053","9.841248"
"995","1.0699158","4.0026245","9.970535"
"1007","1.1154022","3.823059","9.958572"
"1025","1.1154022","3.8158722","9.937027"
"1037","1.2997589","3.933197","9.125381"
"1058","1.2854004","3.9547424","8.969757"
"1067","1.2303314","3.9355927","8.86203"
"1090","1.2854004","3.9762878","8.847656"
"1110","1.3189087","3.9403687","8.850052"
"1120","1.2518768","3.9643097","8.919479"
"1140","1.2758179","3.9595337","8.981735"
"1162","1.4075012","4.0193787","9.139755"
"1174","1.3763733","4.0337524","9.321716"
"1192","1.371582","3.9762878","9.285797"
"1202","1.2039948","3.8924866","9.451004"
"1223","1.2782135","3.9475555","9.460571"
"1242","1.529602","4.055298","9.371994"
"1252","1.615799","4.0672607","9.036804"
"1272","2.2454681","4.510193","5.0384827"
"1291","1.6900177","4.206131","10.3823395"
"1302","1.9270477","4.048111","10.092651"
"1326","1.7139587","4.1534576","9.364807"
"1344","1.6373444","4.1223297","8.531631"
