"Time","X","Y","Z"
"1","0.9454193","2.5948334","9.668869"
"12","0.9095001","2.5565186","9.539581"
"19","0.9502106","2.5948334","9.443817"
"36","0.971756","2.609192","9.431839"
"42","0.9382324","2.6786346","9.367203"
"83","0.86880493","2.62117","9.479721"
"98","0.88316345","2.5996246","9.494095"
"100","0.84246826","2.5852509","9.465363"
"140","0.8664093","2.5996246","9.213974"
"156","1.0124512","2.6594696","9.618591"
"162","1.0172424","2.5924377","9.826889"
"175","1.0076752","2.5996246","10.00885"
"217","0.87120056","2.5325775","10.099823"
"230","0.54319763","2.2763977","9.824493"
"264","0.5479889","2.2907715","9.834076"
"276","0.5096741","2.2357025","9.551559"
"315","0.3851776","2.1734467","9.427063"
"317","0.33969116","2.1399384","9.431839"
"331","0.5814972","2.6977844","9.589859"
"358","0.6676941","2.834259","9.685623"
"396","0.7299347","2.5517426","9.731125"
"399","0.47135925","2.391327","9.6545105"
"415","0.13139343","2.2979584","9.556351"
"464","0.37799072","2.269226","9.635345"
"471","1.0435791","2.4751282","9.599442"
"508","1.1154022","2.5445557","9.769424"
"519","0.9502106","2.5637054","9.846039"
"523","0.8951416","2.5804749","9.786194"
"535","0.94781494","2.5852509","10.001663"
"567","0.91908264","2.5828552","10.049545"
"578","0.69403076","2.4822998","9.721542"
"606","0.6509247","2.439209","9.67366"
"618","0.3923645","2.2237244","9.439026"
"636","0.4043274","2.2644348","9.400726"
"647","0.5384064","2.312317","9.458176"
"665","0.5240326","2.3434448","9.518036"
"684","0.62698364","2.360199","9.628174"
"686","0.60783386","2.3266754","9.678452"
"700","0.54319763","2.274002","9.642532"
"716","0.52882385","2.2955627","9.570709"
"730","0.81134033","2.3985138","9.848434"
"750","0.8065491","2.3865356","9.83168"
"758","0.8879547","2.4846954","9.7933655"
"784","0.91908264","2.4368134","9.77182"
"794","1.0076752","2.4296265","9.755066"
"798","1.0627289","2.4535675","9.747879"
"821","1.1369476","2.5134277","9.836472"
"831","1.1249847","2.5397644","9.810135"
"852","1.1177979","2.5684967","9.728729"
"860","0.9430237","2.597229","9.750275"
"885","1.0028839","2.5062408","9.829285"
"894","1.0316162","2.511032","9.85083"
"916","1.0651245","2.5086365","9.810135"
"923","1.0028839","2.4559631","9.637741"
"932","0.96217346","2.46315","9.513245"
"954","0.9095001","2.4535675","9.525223"
"965","1.0028839","2.4440002","9.630569"
"987","0.995697","2.4751282","9.599442"
"996","0.9382324","2.4894867","9.484512"
"1017","0.9933014","2.549347","9.541977"
"1024","1.0986481","2.6355286","9.697601"
"1047","1.2518768","2.7097473","9.690414"
"1067","1.3620148","2.7839813","9.6138"
"1075","1.7498779","2.8534088","7.901947"
"1097","1.4051056","2.7743988","9.11821"
"1118","1.4865112","2.6307526","10.882736"
"1139","1.3955231","2.7217255","9.781403"
