X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,X_10,Y_10,Z_10,X_11,Y_11,Z_11,X_12,Y_12,Z_12,X_13,Y_13,Z_13,X_14,Y_14,Z_14,X_15,Y_15,Z_15,X_16,Y_16,Z_16,X_17,Y_17,Z_17,X_18,Y_18,Z_18,X_19,Y_19,Z_19,X_20,Y_20,Z_20,X_21,Y_21,Z_21,X_22,Y_22,Z_22,X_23,Y_23,Z_23,X_24,Y_24,Z_24,key
-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,-0.5410919,7.656662,7.656662,7
-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,-0.11253357,9.081207000000001,9.081207000000001,6
-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,-0.16998291,9.014175,9.014175,2
-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,-0.30645752,8.810669,8.810669,5
-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,-0.44532776,8.427597,8.427597,7
-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,-0.16281128,8.944733,8.944733,5
-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,-0.0574646,8.990234,8.990234,6
0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,0.15322876,9.119522,9.119522,9
-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,-0.28012085,8.853760000000001,8.853760000000001,7
-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,-0.20590210000000003,8.865723,8.865723,8
-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,-0.28251648,9.198516999999999,9.198516999999999,8
-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,-0.2346344,8.968674,8.968674,0
-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,-0.30645752,9.323029,9.323029,1
