X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,key
-0.6751709,3.7565002,7.692566,-1.0654143999999999,3.4500427000000005,8.949524,-1.0797881999999999,3.691864,8.779541,7
0.014358520500000001,3.6798858999999995,9.078812,0.23223877,3.6942595999999996,9.674973,-0.24659729,3.5960845999999997,8.700531,6
-0.28012085,3.7924193999999996,8.887283,-0.2346344,3.6296082000000003,9.253586,-0.588974,3.69664,9.176971,2
-0.292099,3.6942595999999996,9.157822,0.06703186,3.5075073,9.318237,-0.74938965,3.988739,9.31105,5
0.21308899,3.3351288,8.573639,-0.41180420000000006,3.5027160000000004,9.416397,-0.6081238,3.6296082000000003,8.93277,7
-0.29927063,3.4907532,9.074019999999999,-0.06703186,3.7134093999999997,9.701309,-0.18196106,3.6367949999999998,8.908828999999999,5
-0.08619689999999999,3.6655273,9.054871,-0.04788208,3.6391907,9.131485000000001,-0.27772522,3.660736,8.947128,6
-0.08140564,3.7301636,9.117125999999999,0.01914978,3.5984802000000005,8.942337,-0.33039856,3.6726989999999997,8.719681,9
-0.22744751,3.541031,8.465897,0.16520691,2.6886902000000004,7.4579315,0.18196106,2.1523895,9.054871,7
-0.16998291,3.5051117,9.016571,-0.34477234,3.4715881,9.1458435,-0.28730774,3.5170898,9.136275999999999,8
-0.16758728,3.4404755,9.1458435,-0.24899292,3.3279419999999997,9.143463,-0.39982605,3.3710327000000007,9.078812,8
-0.26097107,3.430893,8.992614999999999,-0.39743042,3.4859620000000002,9.138672,-0.2753296,3.6703186000000003,8.975861,0
-0.5386963,3.8043823,8.983047500000001,-0.5123595999999999,3.4979248,8.999802,-0.533905,3.5003203999999997,9.136275999999999,1
-0.60095215,3.4524383999999997,8.418014999999999,-1.0223236,3.5960845999999997,9.313446,-1.0103607,3.569748,9.047684,1
-0.6799469,3.4644165,9.380478,-0.62727356,3.6415862999999997,9.806656,-0.9241638000000001,3.5913086000000005,8.968674,5
-0.41419983,3.320755,9.153030000000001,-0.5506592,3.4213104,9.672577,-0.74220276,3.4404755,8.441956,2
-0.44770813,3.5553894,9.10994,-0.31604004,3.4955292,9.165009,-0.36631775,3.4907532,8.889679,3
-0.47166443,3.4596252,9.186554,-0.35913086,3.5625763,9.174576,-0.52194214,3.612854,8.477875,3
-0.70150757,3.605667,9.09079,-0.30166626,3.5505980999999998,9.002197,-0.70150757,3.7086182,9.315842,4
-0.3327942,3.368637,9.813827499999999,-0.3256073,3.3040008999999997,9.952698,-0.50756836,3.10289,8.621521000000001,4
0.21308899,2.1045074,9.531311,-0.03831482,2.1739349999999997,10.390839,0.52194214,2.1236572,9.150635000000001,1
0.03831482,2.324768,9.114730999999999,-0.1771698,2.0877380000000003,10.165787,-0.14604187,2.2840729,9.636658,2
0.44532776,2.111679,9.334991,0.23223877,2.2409668,9.689331,0.2753296,2.3199767999999996,9.562439,4
0.22744751,2.3439178,9.414000999999999,0.09815979,2.4492645,9.526535,0.18435669,2.4349060000000002,9.576813000000001,1
0.24659729,2.3846283,9.485825,0.44293213,2.4875792999999997,8.801086,0.1771698,2.5306702000000003,9.667786,0
0.16520691,2.5641937,8.384491,-0.13647461,2.9903564,9.392456,0.07901001,2.7126312,9.265564,2
0.33039856,2.6838990000000003,8.470688,0.19631958,2.8036041000000003,9.414000999999999,0.22744751,2.6838990000000003,9.753983,0
0.01675415,2.8467102000000004,9.042908,0.04788208,2.7988281,9.136275999999999,0.14125061,2.6479797,9.617508,8
0.18435669,2.7030487,9.315842,-0.0023956299,2.7222137,8.731659,0.13887024,2.8227692,9.490616000000001,6
0.06463623,2.7844542999999997,9.500198,0.02394104,2.597702,9.346969999999999,0.16758728,2.7245939999999997,9.476257,7
0.3543396,2.6455994,9.382874000000001,-0.26576233,2.4181366,9.114730999999999,0.22744751,2.7772675,10.012558,4
0.20111084,2.7293854,9.421188,-0.02633667,2.6815033,9.301468,0.17237854,2.62883,9.605545,4
0.16758728,2.7174225,9.368514999999999,0.06703186,2.7293854,9.294296000000001,0.21548462,2.6216583,9.275131,3
0.11730957,2.8826141,9.368514999999999,0.28251648,2.7150269000000002,8.781937,0.04548645,2.9544525,9.421188,9
-0.4189911,2.9233246,9.7061,-0.33039856,2.7940369,9.598358000000001,0.07901001,2.6336212000000003,9.718063,2
0.28012085,2.7509308,9.425980000000001,0.40222168,2.6671447999999995,9.428360000000001,0.3040619,2.7102356,9.560042999999999,7
0.40701294,2.6096802,9.093185,0.13407898,2.6072845,9.093185,0.24899292,2.7054443,9.382874000000001,4
-0.04548645,2.6216583,9.239227,0.0023956299,2.482788,9.042908,-0.01675415,2.6144714,9.564835,5
0.21548462,2.6168669999999996,9.047684,0.22265625,2.545044,8.856155000000001,0.07182312,2.5665894000000002,9.48822,0
0.30166626,2.4492645,8.968674,0.28970337,2.5905304,9.076416,0.18196106,2.5354614,9.552872,6
0.20829773,2.6120758,9.461884,0.03831482,2.4205322,9.452316,0.28730774,2.6862946,9.648636,4
0.1771698,2.5474243,9.167404,0.29447937,2.7677002,9.174576,0.15802002,2.8275452000000003,9.7348175,9
-0.7805023,2.8850097999999997,9.768341,0.12210083,2.5306702000000003,8.810669,-0.03591919,2.7317810000000002,9.435547,2
0.39265442,2.755722,9.344574,0.46447754,2.5833435000000002,8.935165,0.39505005,2.7892456,9.425980000000001,6
0.45489502,2.6503754,9.260773,0.45729065,2.671936,9.162613,0.39982605,2.6575623,9.48822,9
0.40701294,2.8203735,9.246414,0.60572815,2.6360167999999997,8.904036999999999,0.4333496,2.774887,9.473861999999999,8
0.16041565,2.8802185000000002,9.248795,0.36392212,2.5905304,9.186554,0.30166626,2.6551666000000003,9.655823,8
0.4189911,2.6072845,9.449921,0.45249940000000005,2.5426482999999998,8.805878,0.36871338,2.762909,9.569626,8
0.15322876,2.8083953999999998,8.937561,0.37828064,2.5641937,8.997406,0.15802002,2.7653046000000003,9.504974,5
0.30885315,2.6384125,9.375702,0.4908142,2.568985,8.523361,0.32081604,2.7245939999999997,9.619904,0
0.18435669,2.7533263999999997,9.255981,0.47404480000000004,2.6144714,9.263167999999999,0.33758545,2.6767119999999998,9.4379425,3
-0.014358520500000001,2.968811,9.557648,0.6464386,2.5234832999999997,8.877701,0.3471527,2.719818,9.418792999999999,3
0.38786316,2.8945923,9.636658,0.26815796,2.7174225,9.282318,0.44770813,2.8515015,9.804260000000001,7
