X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,X_10,Y_10,Z_10,X_11,Y_11,Z_11,X_12,Y_12,Z_12,X_13,Y_13,Z_13,X_14,Y_14,Z_14,X_15,Y_15,Z_15,X_16,Y_16,Z_16,X_17,Y_17,Z_17,X_18,Y_18,Z_18,X_19,Y_19,Z_19,X_20,Y_20,Z_20,X_21,Y_21,Z_21,X_22,Y_22,Z_22,X_23,Y_23,Z_23,X_24,Y_24,Z_24,X_25,Y_25,Z_25,X_26,Y_26,Z_26,X_27,Y_27,Z_27,X_28,Y_28,Z_28,X_29,Y_29,Z_29,key
-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,-3.0624695,4.4878235,4.4878235,1
-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,-1.7193298,6.810196,6.810196,0
-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,-1.3578033,4.5045776,4.5045776,1
-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,-0.8286896,4.569214,4.569214,4
-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,-0.9986725000000001,5.330581700000001,5.330581700000001,6
-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,-0.558136,5.933914,5.933914,9
-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,-1.013031,5.1055145,5.1055145,4
-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,-0.62039185,5.598724400000001,5.598724400000001,6
-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,-1.4822998,4.1095276,4.1095276,1
-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,-0.55574036,6.4007874000000005,6.4007874000000005,9
