X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,key
-3.0624695,7.052841,4.4878235,-2.435196,7.002563499999999,6.0655975,-2.3322449,7.2348022,6.965820299999999,1
-1.7193298,7.2635193,6.810196,-1.0178223,6.6314545,8.198837,-1.7193298,6.672165,7.7175902999999995,0
-1.3578033,7.7543335,4.5045776,-1.1614838,7.586746000000001,6.5947113,-1.3649902,7.388031,6.7216034,1
-0.8286896,7.558014,4.569214,-0.55574036,7.2802887,7.949828999999999,-0.7879791,6.976227000000001,7.035247999999999,4
-0.9986725000000001,6.918761999999999,5.330581700000001,-1.2404938,6.7415924,7.8732147,-0.7592468000000001,6.755951,7.9546204,6
-0.558136,7.177337599999999,5.933914,-0.49110413,6.4064026,8.201217999999999,-0.7736206,6.7583466,7.9665985,9
-1.013031,7.407181,5.1055145,-0.4025116,7.402389500000001,6.1757355,-0.50068665,7.277893,6.2547455,4
-0.62039185,6.892425500000001,5.598724400000001,-0.8334655999999999,6.63385,8.009689,-0.7448883000000001,6.593155,7.949828999999999,6
-1.4822998,7.3664703,4.1095276,-1.0609283,7.481399499999999,6.1733400000000005,-0.97473145,7.3952026,5.7495575,1
-0.55574036,6.770324700000001,6.4007874000000005,-0.59884644,6.514145,8.373611,-0.35462952,6.39682,8.490921,9
-1.2452698,6.736801,5.36409,-1.3147125,6.3345795,8.155731,-0.73291016,6.466263,8.3975525,3
-0.15591429999999998,6.7272186000000005,7.947433500000001,-0.021835327,6.662582400000001,8.3185425,-0.261261,6.700882000000001,8.1844635,0
-0.9603729,6.9929809999999994,5.7806854,-0.79037476,6.6147003,7.466202,-0.74728394,6.585967999999999,7.4733887,7
-0.6658783,7.241974000000001,5.5388794,-0.78318787,7.1174774,7.1884766,-0.87657166,6.775116000000001,6.877228,4
-1.2141571000000002,6.866089,5.9937744,-0.16070557,6.178955,8.0456085,-0.76164246,6.815811,7.9306793,9
-1.5924377,6.7631380000000005,5.898010299999999,-0.54377747,6.4375305,7.8444824,-1.0824738,6.7152557,8.464584,9
-1.0681,6.892425500000001,6.6952667,-0.5964508000000001,6.9043884,7.705627400000001,-0.57011414,7.158188000000001,7.272278,0
-2.088028,7.6753235,3.4511260000000004,-1.499054,7.771103,5.802231,-1.4320221000000002,7.273102000000001,6.791046000000001,1
-0.80952454,6.5213165,8.119827,-0.36181640000000004,6.2603607000000006,8.90033,-0.7855835,6.447098,8.864426,0
-1.2763977,7.174942,5.4838104,-0.9005127,7.1102905,6.8628693,-0.81910706,7.1102905,7.538025,4
-1.0728912,6.3273926,7.703232000000001,-1.0250092,6.49498,8.0456085,-1.0417633,6.269928,7.679291,3
-1.4272308,6.5021667,6.676117,-0.7736206,6.384857,8.42868,-1.0681,6.585967999999999,8.359238000000001,5
-1.3865356000000002,6.3273926,6.5324707,-0.7377014000000001,6.5835724,8.174896,-0.72813416,6.667373700000001,7.894760000000001,5
-1.1686553999999998,6.605117999999999,6.489364599999999,-0.85980225,6.4590760000000005,8.622603999999999,-0.89572144,6.573989999999999,7.777450599999999,8
-1.3937225,6.514145,7.152557400000001,-1.0752868999999998,6.700882000000001,8.162918,-0.9603729,6.7894745,7.0017242,8
-1.3530121000000002,6.4327393,7.4087369999999995,-1.1183777,6.6386414,8.356842,-1.5852509,6.7942657,7.667312599999999,2
-1.5828552,6.4064026,6.870056,-1.2165527,6.5476529999999995,8.584305,-1.0728912,6.6314545,7.858855999999999,3
-1.0106506,7.586746000000001,4.799057,-0.8933258,7.052841,7.056792999999999,-0.8933258,6.9905853,7.511688,4
-1.6642609,6.2651367,6.395996,-1.6307373,6.394424400000001,9.146942,-1.0609283,7.1222687,6.419937,2
-1.2979431000000001,6.573989999999999,7.430298,-1.0776825,6.63385,8.936249,-1.0034637,6.837356599999999,7.24115,8
-1.2141571000000002,6.602722,5.653793299999999,-1.5325775,6.6362457,8.823715,-1.1351471000000002,6.959457400000001,6.9322968,2
-1.1255646000000001,6.518936,6.8844147,-0.9603729,6.621886999999999,8.610626,-1.1925964,6.8732758,7.763091999999999,2
-1.3482208,6.617096000000001,6.340927,-1.0896454,6.483017,9.690414,-1.5900421,6.6697693,7.772659299999999,3
-1.1806335,6.538086,6.625839,-0.95558167,6.564422599999999,8.392761,-0.9986725000000001,6.7631380000000005,7.6218259999999995,5
-1.4128723,6.7511597000000005,5.909973,-0.92445374,6.760742,7.911529499999999,-1.0489502,6.662582400000001,7.667312599999999,5
-2.1024017,6.545273,5.419159,-0.86698914,6.734405499999999,8.850052,-1.3649902,6.985794,8.028839,6
-1.676239,6.9043884,5.414367700000001,-0.9412079,6.578780999999999,8.258682,-1.3003387,6.882842999999999,7.415924,6
-1.1423187,6.849334700000001,7.212417599999999,-0.9723358,6.8732758,7.303406,-0.98431396,6.9115753,7.4614104999999995,7
-1.0513458,6.4494934,7.104675299999999,-1.0106506,6.6506042,8.282623,-1.1136017,6.7272186000000005,7.803787,8
-0.8909302,6.981003,6.8916016,-0.9771271,6.959457400000001,8.275452,-1.3434448,6.5213165,7.660141,7
-0.9795226999999999,6.722442599999999,7.708023,-0.6802368000000001,6.961853,8.0503845,-0.90530396,6.8206024,6.965820299999999,7
-0.9867096,6.8301697,6.0416565,-0.000289917,6.8972169999999995,8.079117,-0.7736206,6.404007,7.447052,9
-1.0681,7.057617,5.189316000000001,-0.21817017,7.0743865999999995,9.012863000000001,-0.57250977,6.526108,7.664917,3
-0.9914856,7.593933,3.8629303,-0.13916016,7.644211,7.3177642999999994,-0.5964508000000001,7.2371826,7.810974000000001,2
-0.7999573,7.088744999999999,5.83815,-0.42167664,6.8445434999999994,7.348892,-0.34983826,6.949889999999999,7.949828999999999,8
-0.3905487,7.2012787,6.0249023,-0.59165955,7.139023,7.561966,-0.15112305,7.2922516,7.660141,2
-0.2756195,7.009735000000001,5.826172,0.023651123,7.172546400000001,7.7151947,-0.10084534,7.119872999999999,7.798996000000001,2
-1.4751128999999998,7.6106872999999995,3.5349274,-0.40969849999999997,8.120650999999999,5.7064667,-0.8909302,7.744766,6.910751299999999,1
-1.0178223,7.5364685,4.787094000000001,-0.18943787,7.862075999999999,7.142989999999999,-0.637146,7.6178740000000005,7.0065155,1
-1.0848693999999999,7.0815735,7.212417599999999,-0.37857056,6.81102,8.706406,-0.27082825,6.806228599999999,8.739914,0
-2.1694336,7.4670258,4.169388,-2.0090331999999997,7.517318700000001,6.5827484,-0.80952454,7.85968,6.609085,1
-0.77841187,6.6865234,6.6713257,-0.38815308,6.9331207,7.736755400000001,-0.39773559999999997,6.921158,8.258682,8
-1.3889313,7.1174774,6.4007874000000005,-1.008255,7.0217133,7.1765137,-1.0345917,7.1102905,7.470992999999999,7
-0.7041930999999999,6.949889999999999,6.4726105,-0.36660767,6.9666443,8.083908000000001,-0.49110413,7.0265045,7.676895,5
-1.408081,6.6003264999999995,6.491760299999999,-0.9507904,6.6961059999999994,8.981735,-0.6299591,6.779892,7.684082000000001,3
-0.60124207,6.7415924,7.2052307,-0.014663696,6.930725,7.820541400000001,-0.33547974,6.8589020000000005,8.136581,0
-0.8526306,6.8517303,6.5348663,-0.6084137,6.7535553,7.894760000000001,-0.29716492,7.088744999999999,7.662536599999999,5
-2.348999,7.0695953,3.9778595,-1.202179,7.704056,6.214035,-0.8645934999999999,7.6753235,6.712036,1
-1.115982,6.806228599999999,6.369659400000001,-0.33787537,6.902008,7.7199860000000005,-0.503067,6.892425500000001,7.947433500000001,8
-1.0561371000000002,6.641037,6.0296783,-0.8286896,6.803833,8.306564,-0.6970062,6.9546660000000005,7.6433716,2
-1.3530121000000002,6.9427032,5.297058,-0.24688720000000003,6.782287599999999,7.8253326,-0.54377747,6.997772,8.253891000000001,9
-0.95318604,7.155792,5.0169373,-0.46955872,7.071991000000001,7.068771400000001,-0.46955872,6.9929809999999994,6.915542599999999,5
-1.408081,7.088744999999999,5.6585846,-0.26605225,6.832565299999999,7.6338043,-0.41688538,6.8684845,8.364028999999999,9
-1.0250092,7.639419599999999,4.6194916,-0.8933258,7.134231599999999,6.6737213,-0.80474854,7.349716,7.39917,7
-1.3171082,6.681732000000001,5.2874756,-1.032196,6.463867,8.05278,-0.76164246,6.605117999999999,8.46698,6
-1.0992278999999998,6.8732758,5.388031,-0.42405699999999996,6.605117999999999,8.167709,-0.5533446999999999,6.8445434999999994,8.584305,9
-1.2189331,6.945099000000001,5.50296,-0.49349976,6.720047,8.579514,-1.1279602,6.681732000000001,8.079117,6
-0.2756195,6.822997999999999,7.7175902999999995,-0.52700806,6.6458282,7.846878,-0.52700806,6.832565299999999,8.531630999999999,0
-1.2309113,6.590759299999999,5.9985657,-0.82629395,6.523712000000001,9.005676,-0.45758057,6.550049,8.890761999999999,3
-1.1064148,6.7774963,5.9075775,-0.46237183,6.7631380000000005,8.122223,-0.78318787,6.712860000000001,8.179672,6
-0.503067,6.732010000000001,7.492538499999999,-0.25886536,6.875671400000001,8.059967,-0.2828064,6.791869999999999,8.543594,0
-1.6642609,6.461471599999999,6.9466705,-0.60124207,6.688919,8.699219,-0.45518494,6.466263,9.237915,6
-0.7855835,6.5596312999999995,6.7072449999999995,-0.3905487,6.653,9.441421499999999,-0.69940186,6.5524445,7.523666400000001,3
-0.91007996,7.024108999999999,6.491760299999999,-0.6515198,6.985794,6.7886505,-0.63235474,7.0289,7.5595856,7
-2.143097,6.849334700000001,4.358536,-1.1854248,7.158188000000001,7.308182,-1.2740021000000001,7.105514500000001,6.980179,4
-0.8358612,7.1533966,5.613098,-0.5773010000000001,7.2395782,7.2291718,-0.5820770000000001,7.2132416,7.4183197,5
-0.69221497,7.4502716,5.419159,-0.73291016,7.273102000000001,7.0663757,-0.62757874,7.1174774,7.437469500000001,4
-0.21337889999999998,7.2060699999999995,6.580353,-0.49589540000000004,7.143814,7.6984406000000005,-0.58447266,6.9881896999999995,7.672103999999999,7
-1.46315,7.0001679999999995,5.684921299999999,-0.57011414,7.309021,6.8820190000000006,-0.7137604000000001,7.1414184999999994,7.233963,4
-1.6642609,7.0935364000000005,4.973846400000001,-1.0441589,7.4119720000000004,5.905182,-1.0728912,6.949889999999999,6.6809080000000005,4
-1.1279602,6.9115753,5.687317,-0.4480133,7.12706,7.731964,-0.32829285,7.0217133,8.390366,8
-1.5469513000000001,7.3066254,4.332199,-1.5038452,7.174942,5.881241,-1.063324,7.0049589999999995,7.772659299999999,4
-0.7377014000000001,7.404785,5.3066406,-0.19421387,7.373657000000001,6.738372999999999,-0.27082825,7.1294556,7.820541400000001,4
-0.59884644,6.806228599999999,6.628235000000001,-0.44322205,6.8517303,7.9282837,-0.30195618,6.748779300000001,7.995331,5
-0.5198364000000001,6.8732758,6.558807400000001,-0.36660767,6.7966614000000005,7.4231110000000005,-0.20619202,6.815811,7.8444824,5
-0.7664337,6.806228599999999,6.036865,-0.86698914,6.7463837,8.186859,-0.69940186,6.9546660000000005,6.309799,2
-1.6977843999999997,7.016922,5.3066406,-0.32350159999999994,7.2802887,7.2387543,-0.08648682,7.131850999999999,7.2914276,4
-0.54138184,6.952286,7.0975037,-0.39294434,6.784683,7.834915,-0.3905487,6.765533400000001,7.6266174,0
-1.0824738,7.4574585,5.385650599999999,-0.6754608,7.593933,7.071167,-0.64912415,7.4502716,7.0184937000000005,1
-0.53419495,6.9953766,6.127853400000001,-0.40730286,6.688919,8.593872,-0.35462952,6.7894745,7.968994,2
-0.16070557,7.0121307,6.5779570000000005,0.038009644,6.7535553,7.561966,-0.0769043,7.019317599999999,8.320938,0
